[Mon, 18 Apr 2016 02:46:11 EDT] Running ScrapeBookChaptersProcess with Session Name Harry Potter, English, 5 years old, >10 reviews, >2 reviews/chapter, April 17, 2016 - fix 2
[Mon, 18 Apr 2016 03:19:14 EDT] Scraping book: 11730349; Chapters: 6; Wait times: 3578, 4567, 3395, 1967, 4160, 2300, 
[Mon, 18 Apr 2016 03:19:56 EDT] Scraping book: 11730100; Chapters: 14; Wait times: 3115, 1801, 2308, 2017, 1435, 2466, 3474, 309, 1821, 762, 3332, 3277, 3764, 3383, 
[Mon, 18 Apr 2016 03:19:59 EDT] Scraping book: 11728804; Chapters: 1; Wait times: 2847, 
[Mon, 18 Apr 2016 03:20:03 EDT] Scraping book: 11727450; Chapters: 1; Wait times: 3829, 
[Mon, 18 Apr 2016 03:20:15 EDT] Scraping book: 11725665; Chapters: 4; Wait times: 1453, 3903, 1684, 2334, 
[Mon, 18 Apr 2016 03:20:24 EDT] Scraping book: 11725659; Chapters: 3; Wait times: 2461, 2512, 2623, 
[Mon, 18 Apr 2016 03:20:42 EDT] Scraping book: 11725626; Chapters: 6; Wait times: 2691, 2995, 1978, 2807, 2179, 2633, 
[Mon, 18 Apr 2016 03:20:44 EDT] Scraping book: 11725412; Chapters: 1; Wait times: 1890, 
[Mon, 18 Apr 2016 03:20:46 EDT] Scraping book: 11725066; Chapters: 1; Wait times: 1546, 
[Mon, 18 Apr 2016 03:21:08 EDT] Scraping book: 11724591; Chapters: 7; Wait times: 4039, 2592, 1165, 3055, 3518, 2341, 1990, 
[Mon, 18 Apr 2016 03:25:09 EDT] Scraping book: 11721825; Chapters: 81; Wait times: 2223, 2349, 3341, 2192, 1791, 1823, 3997, 3019, 3048, 2690, 2019, 4251, 3113, 1955, 964, 1045, 2975, 2120, 1505, 1768, 3177, 1919, 2482, 1717, 2145, 2552, 2781, 4018, 1827, 2560, 2308, 4388, 2356, 1566, 3285, 2446, 3074, 1916, 2831, 2225, 3053, 1367, 3327, 3619, 2663, 3922, 1015, 3527, 2184, 2061, 3679, 2708, 1553, 2716, 3610, 3615, 86, 2128, 1660, 3617, 2225, 3531, 2292, 2894, 941, 1840, 0, 3321, 3072, 2116, 2182, 3058, 3977, 2258, 1642, 1972, 1321, 1071, 2764, 2826, 2147, 
[Mon, 18 Apr 2016 03:25:10 EDT] Scraping book: 11721584; Chapters: 1; Wait times: 1337, 
[Mon, 18 Apr 2016 03:25:12 EDT] Scraping book: 11720603; Chapters: 1; Wait times: 677, 
[Mon, 18 Apr 2016 03:25:21 EDT] Scraping book: 11719849; Chapters: 3; Wait times: 2618, 2963, 2543, 
[Mon, 18 Apr 2016 03:25:25 EDT] Scraping book: 11719753; Chapters: 1; Wait times: 3124, 
[Mon, 18 Apr 2016 03:25:42 EDT] Scraping book: 11719420; Chapters: 5; Wait times: 2001, 4531, 2598, 3500, 2486, 
